Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Return on Equity","Return on Investment","% Away From 52W High","6M Return","Debt to Equity","Earning Power","Long Term Debt to Equity","5Y Historical Revenue Growth","1Y Forward Revenue Growth","Sector PE"," MF Holding Change – 6M","FII Holding Change – 6M","Percentage Buy Reco’s","No. of analysts with buy reco","Fundamental Score","Total Revenue","Earnings Per Share"
Gravita India Ltd,GRAVITA,"Metals - Lead","1847.72397634","13.255785754645242","20.648004249208213","15.481225883051358","45.7341633101428","-14.119496855345906","93.93416082029144","27.286495119298394","19.60064759848894","27.596993548137227","31.20685554657989","11.33587913952648","0","0.3581293026901131","100","1","6.475","2223.71","20.6"
Surya Roshni Ltd,SURYAROSNI,"Iron & Steel","1845.0300874","9.003660391372229","12.147323997698104","10.949339450157666","150.6936416184971","-32.612717888791515","52.409894096308","11.569281399056926","12.595810660581595","19.71606564581041",,"11.33587913952648","0","-1.6329107768141335","100","2","5.743975903614458","7736.62","38.4"
I G Petrochemicals Ltd,IGPL,"Specialty Chemicals","1836.604854","6.943685648393196","25.863396392432875","20.55765739266259","70.79141515761236","-15.631631065214316","19.940389294403893","27.887898474089738","10.925790754257907","12.6729002669836",,"11.33587913952648","-0.12063705457243667","0.23436386278874588","0","0","5.28","1889.74","85.88"
Bhansali Engg Polymers Ltd,BEPL,"Commodity Chemicals","1836.5754347999998","5.247058553225532","42.10311064065241","35.68524349607164","100.99367660343268","-35.16837481698389","0","42.666486193827815","0","17.371752769913872",,"11.33587913952648","0","-0.875896081652197",,"0","5.212727272727273","1413.5499999999997","21.097534719133105"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","1834.4324906450001","78.42806715027781","3.784208458818854","8.673296799945849","6.911474575192522",,"89.97493734335839","12.294663809815335","55.247092089197345",,,"116.53524013940141",,,,"0",,"590.09","12.69"
IndoStar Capital Finance Ltd,INDOSTAR,"Consumer Finance","1829.5861212749999","-8.545075527882846","-6.713164367648525","-2.205989171479061","189.32688731870587","-44.97646818088807","162.44439937808423",,"154.22105049685663","14.852886730021186",,"18.361570903897096","-0.7351023756357027","-0.08569638133825164","50","2","5.3660000000000005","1287.1499999999999","-19.808378935963606"
Dishman Carbogen Amcis Ltd,DCAL,"Labs & Life Sciences Services","1828.8748031750001","101.54774032065457","-2.8934945872919617","-1.6125867389714392","122.63180454350619","-45.995370370370374","27.880333121593594","0.632159300294913","15.250174597548265","4.653567554101445","14.333763412731402","32.92951730870654","0.7097519027800807","1.1006186604493298","50","1",,"2184.11","1.15"
RattanIndia Power Ltd,RTNPOWER,"Power Generation","1825.8359924000001","-0.9214645801811805","-192.33605343519247",,"185.29411764705884","-54.05405405405405",,"1.9357029050047647",,"18.872233257539193",,"22.926733317170665","0","-0.05532626502077931",,"0","3.8611111111111107","3669.16","-3.69"
Hindustan Construction Company Ltd,HCC,"Construction & Engineering","1823.1990340200002","4.344570556463726",,,"66.39004149377593","-25.386996904024755",,"12.039674465920648",,"2.480403804301834",,"43.29238706887016","-0.7115188393006626","0.7194934425824222",,"0","3.7976744186046507","11154","2.69"
Vishnu Chemicals Ltd,VISHNU,"Diversified Chemicals","1816.4520711","22.317877762624384","25.99115425761231","17.05055479366663","18.312452730919727","73.04540798907476","81.5167887754236","15.328578761699854","36.93247715764759","15.889564517634058","29.01760315090208","11.33587913952648","0","0.25719863184558533","100","1","4.324545454545455","1074.76","68.13147809898197"
